filename,width,height,class,xmin,ymin,xmax,ymax
4051761918_96cff046d0.jpg,500,333,macncheese,53,51,228,272
4116943184_c689b8a0dc.jpg,500,375,macncheese,136,140,343,293
4130931018_03f009df62.jpg,500,375,macncheese,64,57,418,331
4148574215_672f96118e.jpg,500,375,macncheese,31,115,446,291
4184355025_84b5438658.jpg,500,375,macncheese,2,78,370,375
4198067551_9dffd546c0.jpg,500,375,macncheese,113,73,426,291
4198821240_cbe5e8c63b.jpg,500,375,macncheese,29,31,480,347
4223552117_888f8296fd.jpg,500,375,macncheese,98,57,436,307
497275589_6122445b93.jpg,500,368,macncheese,136,148,336,350
745321781_722417c591.jpg,500,375,macncheese,167,162,384,254
856725503_8a8c72a412.jpg,500,479,macncheese,77,106,416,345
8665133_f520 2.jpg,520,390,macncheese,68,47,379,331
ad43da3c-1142-484c-947a-de74d0e0d416.jpg,380,214,macncheese,61,1,341,125
aid118052-v4-728px-Make-Creamy-Mac-N-Cheese-Step-9.jpg,728,546,macncheese,102,134,613,487
baked-macaroni-cheese-08-18-57bbb6bc3df78c876365e361.jpg,1800,1261,macncheese,102,41,1264,916
Betty Crockers Family Favorite Macaroni and Cheese.jpg,350,400,macncheese,4,29,350,276
Bistro-Mac---Cheese_exps47665_SD143203C10_24_5bC_RMS.jpg,1200,1200,macncheese,71,122,1084,829
Broccoli-Shells-and-Cheese-fork.jpg,800,600,macncheese,34,58,756,541
c17777058e3a5a7abc173063eae1129d--homemade-macaroni-cheese-mac-cheese.jpg,432,324,macncheese,1,52,368,304
copycat-panera-mac-and-cheese-2.jpg,701,1047,macncheese,112,300,692,676
creamy-macaroni-and-cheese-recipe_16801.jpg,800,1200,macncheese,1,255,800,747
DSC05307.jpg,500,383,macncheese,110,156,461,354
dscf5377.jpg,2848,2136,macncheese,1303,744,2645,2123
DSC_0261-1024x685.jpg,1024,685,macncheese,91,115,962,571
DSC_0368-1024x685.jpg,1024,685,macncheese,237,78,945,500
Easy-Shells-and-Cheese-labeled.jpg,450,450,macncheese,40,200,376,347
FRZ4YCQIGSBKGH2.MEDIUM.jpg,620,541,macncheese,161,136,410,387
Gluten Free Macaroni and cheese recipe.jpg,300,449,macncheese,11,65,246,204
gluten-free_mac_n_cheese.jpg,490,384,macncheese,76,102,434,353
Homemade-One-Pot-Stovetop-Macaroni-and-Cheese-Cooked-in-Milk-by-Five-Heart-Home_700pxTitle1.jpg,700,1050,macncheese,116,241,700,737
images.jpg,259,194,macncheese,23,18,228,102
instant-mac-cheese.jpg,700,467,macncheese,138,77,425,376
Instant-Pot-Meatless-Monday-Best-Ever-Macaroni-Cheese.jpg,1000,668,macncheese,121,174,1000,649
JWYBZJMdS2uM1SwQaI7Q_stovetop-macaroni-cheese-8831.jpg,620,413,macncheese,112,146,388,399
KFC Macaroni and Cheese.jpg,400,227,macncheese,5,28,336,215
kraft macaroni and cheese.jpg,320,320,macncheese,101,198,251,312
large_1238130420.jpg,400,267,macncheese,104,56,367,233
maasdfasfsacaroni-and-cheese.jpg,450,300,macncheese,144,51,415,244
maasdfasfscaroni-and-cheese.jpg,450,300,macncheese,150,53,415,242
mac+and+cheese61.jpg,267,400,macncheese,1,200,249,306
mac-and-cheese-for-one-image.jpg,680,1022,macncheese,44,289,625,620
mac-and-cheese.jpg,650,976,macncheese,26,263,572,797
mac-cheese-3.jpg,680,973,macncheese,15,164,669,676
MAC-CHEESE_zpse7f7e8d6.jpg,640,427,macncheese,296,130,530,273
mac-n-cheedafsafafse.jpg,458,335,macncheese,47,56,408,246
Macaroni-and-casdfasfsaheese.jpg,300,300,macncheese,47,87,268,192
macaroni-and-cheese-ring-600x450.jpg,600,450,macncheese,203,66,404,172
macaroni-cheese-17959445.jpg,300,450,macncheese,1,58,258,249
macaroni-cheese-23595283.jpg,400,340,macncheese,39,62,269,306
macaroni-cheese-master768.jpg,768,502,macncheese,196,40,669,239
macaroni-cheese-rs-640874-x.jpg,300,300,macncheese,58,63,300,218
macaronicheesemug.jpg,598,680,macncheese,13,49,589,455
macasfsfasaroni_and_cheese.jpg,400,400,macncheese,127,133,279,226
MAcCheeseCD-640x360.jpg,640,360,macncheese,66,18,513,273
maccheesefry4.jpg,615,412,macncheese,43,122,320,341
mac_cheese.jpg,519,519,macncheese,40,81,445,384
Mac_Cheese_vert.jpg,279,387,macncheese,56,158,277,356
mac_csafheese.jpg,519,519,macncheese,48,78,443,388
masdfasfsacaroni-and-cheese.jpg,432,324,macncheese,1,49,372,301
Midwest-Macaroni-and-Cheese-Recipe.jpg,450,400,macncheese,24,79,424,276
Miracle Mac front.jpg,640,480,macncheese,99,71,546,406
One-pot-Creamy-Shells-and-Cheese-Taco-Maco.jpg,632,421,macncheese,170,69,491,380
one-pot-macaroni-cheese-11-620x616.jpg,620,616,macncheese,6,59,620,573
Pumpin-Macaroni.jpg,550,567,macncheese,39,60,502,529
Pumpkin-Pasta.jpg,550,824,macncheese,63,282,490,711
Pumpkin_Mac_and_Cheese_Square_full.jpg,475,445,macncheese,107,107,411,264
Quick-Shells-and-Cheese-labeled.jpg,550,550,macncheese,51,201,464,479
rice-cooker-mac-and-cheese-with-ham-featured-450x450.jpg,450,450,macncheese,1,46,353,305
shells-and-cheese.jpg,900,600,macncheese,45,108,880,591
shells_and_cheese_1.jpg,500,333,macncheese,16,18,412,237
shells_and_cheese_azm9zn.jpg,600,400,macncheese,196,58,537,358
Slow Cooker Macaroni and Cheese.jpg,426,640,macncheese,2,167,426,483
slow-cooker-mac-cheese-1.jpg,585,390,macncheese,117,68,461,313
slow-cooker-mac-cheese-26-600.jpg,600,400,macncheese,87,8,567,282
SomethingEdible-Stove_Top_One_Pot_Macaroni_and_Cheese06.jpg,800,572,macncheese,141,94,587,454
Southern-Mac-Cheese.jpg,448,393,macncheese,78,91,369,272
ss_R130854.jpg,300,300,macncheese,44,97,296,254
Still_1_One_Pot_Mac_Cheese.jpg,750,750,macncheese,1,155,577,595
Still_3_170213_Stove_Top_Mac_Cheese.jpg,750,750,macncheese,28,215,664,559
Stovetop-Butternut-Squash-Shells-and-Cheese-300x300.jpg,300,300,macncheese,81,73,300,244
Stovetop-Mac-N-Cheese.jpg,450,450,macncheese,1,83,375,345
th.jpg,306,204,macncheese,37,72,246,166
thumb_600.jpg,590,590,macncheese,7,5,590,589
TP07_camping_recipe_macncheese_article.jpg,660,660,macncheese,27,190,461,588
vegan shells mac and cheese 2[7].jpg,500,334,macncheese,1,65,400,319
velveetashellsandcheese.jpg,900,602,macncheese,167,169,795,527
White-Cheddar-Pasta-Shells.jpg,575,383,macncheese,1,67,537,349
